ax,ay,az,gx,gy,gz,label,sample_id
0.8064,-0.1113,0.0312,-102.4809,-13.1908,-7.7405,0,0_0
0.8313,-0.0732,0.1458,-91.0840,-15.4122,1.5878,0,0_0
0.9277,-0.0647,0.2434,-82.0763,-21.5878,3.0534,0,0_0
0.9385,-0.0217,0.3091,-69.7328,-23.6183,0.2824,0,0_0
0.9500,0.0188,0.3345,-54.2672,-18.9313,0.0916,0,0_0
0.9832,0.0354,0.3301,-37.6336,-9.4046,-1.7023,0,0_0
1.0115,0.0493,0.2810,-25.5191,-7.5420,-7.5725,0,0_0
0.9912,0.0764,0.2566,-17.5573,-13.4046,-11.9695,0,0_0
0.9929,0.0879,0.2319,-15.3206,-22.0687,-16.5573,0,0_0
0.9727,0.1265,0.2419,-12.7328,-28.0458,-19.4962,0,0_0
0.9797,0.1553,0.2483,-7.5267,-30.3740,-22.9847,0,0_0
0.9670,0.1995,0.2170,-0.3206,-29.2672,-26.2519,0,0_0
0.9570,0.2009,0.1643,6.0534,-24.6489,-27.5115,0,0_0
0.9280,0.1985,0.1040,14.2214,-17.7099,-22.7481,0,0_0
0.9290,0.2087,0.0620,23.1679,-8.1756,-14.0992,0,0_0
0.9705,0.2119,-0.0010,31.4198,3.4427,-5.6260,0,0_0
1.0083,0.2048,-0.0569,37.2214,14.6641,-2.8473,0,0_0
0.9958,0.1914,-0.1316,41.0153,20.0153,0.0382,0,0_0
0.9988,0.1853,-0.2136,44.5802,17.5038,6.2901,0,0_0
1.1111,0.1655,-0.3511,44.6260,9.3130,16.6641,0,0_0
1.2192,0.1272,-0.4023,38.3206,-7.4962,8.5725,0,0_0
1.2227,0.2024,-0.3921,30.9084,-20.2672,8.3053,0,0_0
1.2544,0.2119,-0.3618,28.4122,-23.0534,11.0916,0,0_0
1.3040,0.1841,-0.3450,27.2901,-21.0763,5.5649,0,0_0
1.3008,0.1797,-0.3049,23.6870,-17.5954,-5.4809,0,0_0
1.2734,0.1787,-0.2437,21.5038,-15.5725,-17.5191,0,0_0
1.2488,0.2146,-0.1841,25.5649,-19.0916,-30.8015,0,0_0
1.1572,0.2358,-0.1853,33.5191,-24.0229,-39.3817,0,0_0
1.0891,0.2446,-0.2148,39.5496,-25.9008,-41.0840,0,0_0
